34493a23-2b64-4d07-9a55-171401a6cd98 | （一）乙方向甲方支付 | ['702071', '柒拾万贰仟零柒拾壹'] | 不一致 | '柒拾万零贰仟零柒拾壹'
7cdb47e9-b710-4faa-8eaa-518d46e5ebd4 | 租赁费用采取“先付后 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
483bfc0c-b0bb-4c44-af15-e84ba0c0002f | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
6e8e4a88-e7fa-4223-b961-26c0fc97890e | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
43246e02-4b94-42a1-83b7-8d1e96304473 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
1654d41e-318d-43d0-8cdc-8066f4305218 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
82ccd57f-d696-4003-81de-dfb5a70828ec | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
b7a5dafd-233d-4ca4-a91b-d97f8a631c25 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
511aa2a4-0c9f-42bc-b107-73ad0fe39b91 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
cd8519ee-4c8a-4aa7-93b0-ad1da5b26ce4 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
2aa00dfb-4814-41d3-b198-fb6861081549 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
bba770dc-ceb7-4539-935f-290aa59c3b1e | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
8b809857-1384-490e-91f7-19ba6d948291 | [3]有义务自本协议 | ['50000', '零'], ['500', '零'] | 不一致 | '伍万', '伍佰'
ac87a67a-2641-4ac8-9b92-a63c5044c6d5 | [3]有义务自本协议 | ['50000', '零'], ['500', '零'] | 不一致 | '伍万', '伍佰'
216b6061-5966-452c-98f2-d5d4c4d39d99 | [2]有义务承担委托 | ['140000', '千分'] | 不一致 | '壹拾肆万'
8e9c785b-5af9-462d-9d12-90464632f4e9 | [2]有义务承担委托 | ['140000', '千分'] | 不一致 | '壹拾肆万'
fa2dea40-8198-4a10-a32c-393eb7f918d1 | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
b193c995-889e-4c85-b701-ad1ffb03df6d | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
02d8597e-2fc1-478b-9e8d-b9b1e571f7f5 | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
3846cdbe-43e9-4333-9e44-f678a7540be4 | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'


09f063d1-52ba-4770-b1fa-663d82005524 | 乙方须向甲方缴纳人民 | ['50000', '伍万万'] | 不一致 | '伍万'
09f063d1-52ba-4770-b1fa-663d82005524 |    伍拾万伍仟柒佰 | ['505753', '伍拾万伍仟柒佰伍拾叁'] | 不一致 | '伍拾万零伍仟柒佰伍拾叁'
6d29ca15-21e1-4241-8cc9-e684017cf1b7 | 乙方须向甲方缴纳人民 | ['50000', '伍万万'] | 不一致 | '伍万'
6d29ca15-21e1-4241-8cc9-e684017cf1b7 |    伍拾万伍仟柒佰 | ['505753', '伍拾万伍仟柒佰伍拾叁'] | 不一致 | '伍拾万零伍仟柒佰伍拾叁'
ac369531-4c91-41da-a6eb-9af243c39a09 | 乙方须向甲方缴纳人民 | ['50000', '伍万万'] | 不一致 | '伍万'
ac369531-4c91-41da-a6eb-9af243c39a09 |    伍拾万伍仟柒佰 | ['505753', '伍拾万伍仟柒佰伍拾叁'] | 不一致 | '伍拾万零伍仟柒佰伍拾叁'
933467eb-cf0f-4082-ad04-48c696bb9897 | 乙方须向甲方缴纳人民 | ['50000', '伍万万'] | 不一致 | '伍万'
933467eb-cf0f-4082-ad04-48c696bb9897 |    伍拾万伍仟柒佰 | ['505753', '伍拾万伍仟柒佰伍拾叁'] | 不一致 | '伍拾万零伍仟柒佰伍拾叁'
